ID,Y,filename,sex,age,age_years,corpus,group,child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word_errors,,,,,,,,,total_error
82,0,405.cha,male,57,4.75,ENNI,TD,617,90,72,0.261,0.309090909,586,43,4,8,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,23
83,0,406.cha,female,56,4.666666667,ENNI,TD,674,89,18,0.208,0.513157895,626,47,7,39,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,13
84,0,407.cha,male,51,4.25,ENNI,TD,374,58,26,0.274,0.219512195,354,35,2,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2
85,0,408.cha,female,53,4.416666667,ENNI,TD,525,71,7,0.26,1.064516129,477,46,1,13,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5
86,0,409.cha,male,58,4.833333333,ENNI,TD,419,58,15,0.329,0.270833333,340,41,0,26,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,12
87,0,410.cha,female,50,4.166666667,ENNI,TD,456,63,55,0.243,0.325581395,382,41,0,15,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,25
88,0,411.cha,female,55,4.583333333,ENNI,TD,802,91,28,0.247,0.430769231,676,46,6,40,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,38
89,0,412.cha,female,58,4.833333333,ENNI,TD,830,84,14,0.259,0.445945946,669,50,2,51,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9
90,0,414.cha,male,60,5,ENNI,TD,444,73,76,0.342,0.181818182,406,41,1,12,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,8
91,0,415.cha,female,56,4.666666667,ENNI,TD,478,72,8,0.243,0.84375,419,38,0,21,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,27
92,0,416.cha,female,58,4.833333333,ENNI,TD,627,81,6,0.24,0.479452055,605,43,1,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
93,0,417.cha,female,56,4.666666667,ENNI,TD,1038,122,12,0.194,0.4,883,55,3,49,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2
94,0,418.cha,male,58,4.833333333,ENNI,TD,612,78,24,0.233,0.308823529,510,40,0,49,11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,15
95,0,419.cha,female,54,4.5,ENNI,TD,598,78,5,0.236,0.357142857,538,44,1,32,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7
96,0,421.cha,male,54,4.5,ENNI,TD,1317,156,6,0.194,0.615384615,1199,47,5,49,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,8
